record_identifier,dataset_and_split,ground_truth,prediction,confidence,domain_score,reliability_score,policy_decision,failure_category,evidence_based_explanation
China_Drone_002248_det_1,RDD2022_China_Drone_Val,1 defect boxes,"Box [214.5, 398.5, 330.4, 511.9]",0.8685,0.1482,0.9904,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.8685) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_002346_det_0,RDD2022_China_Drone_Val,1 defect boxes,"Box [345.7, 233.6, 509.7, 267.4]",0.7073,0.2187,0.8957,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7073) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_000200,RDD2022_China_Drone_Val,3 labeled defects,0 predictions (0 matched TPs),0.0,0.1988,0.114,HUMAN_REVIEW,SEVERE_FALSE_NEGATIVE,Image contains 3 labeled defects but YOLO achieves 0 matched true positives (F1=0.0); missed due to faint crack contrast under uniform aerial lighting.
China_Drone_001755,RDD2022_China_Drone_Val,3 labeled defects,1 predictions (0 matched TPs),0.2848,0.1213,0.5628,HUMAN_REVIEW,SEVERE_FALSE_NEGATIVE,Image contains 3 labeled defects but YOLO achieves 0 matched true positives (F1=0.0); missed due to faint crack contrast under uniform aerial lighting.
China_Drone_000033,RDD2022_China_Drone_Val,2 labeled defects,0 predictions (0 matched TPs),0.0,0.281,0.0913,HUMAN_REVIEW,SEVERE_FALSE_NEGATIVE,Image contains 2 labeled defects but YOLO achieves 0 matched true positives (F1=0.0); missed due to faint crack contrast under uniform aerial lighting.
India_000268,RDD2022_India_Cross_Domain,2 labeled pothole/defect boxes,1 predictions (0 matched TPs),0.6234,0.8412,0.9612,DOMAIN_ESCALATION (Under RoadSentinel); AUTO_ACCEPT (Under YOLO_PLUS_RELIABILITY ablation),CROSS_DOMAIN_ABLATION_LEAKAGE,Catastrophic cross-domain perception failure (F1=0.0) where confidence-only ablation leaks into AUTO_ACCEPT (reliability=0.9612 >= 0.85); successfully intercepted by DINOv2 domain gate (d=0.8412 > 0.4491).
India_000624,RDD2022_India_Cross_Domain,1 labeled pothole/defect boxes,1 predictions (0 matched TPs),0.612,0.8756,0.957,DOMAIN_ESCALATION (Under RoadSentinel); AUTO_ACCEPT (Under YOLO_PLUS_RELIABILITY ablation),CROSS_DOMAIN_ABLATION_LEAKAGE,Catastrophic cross-domain perception failure (F1=0.0) where confidence-only ablation leaks into AUTO_ACCEPT (reliability=0.9570 >= 0.85); successfully intercepted by DINOv2 domain gate (d=0.8756 > 0.4491).
India_000578,RDD2022_India_Cross_Domain,3 labeled pothole/defect boxes,1 predictions (0 matched TPs),0.5833,0.8455,0.9444,DOMAIN_ESCALATION (Under RoadSentinel); AUTO_ACCEPT (Under YOLO_PLUS_RELIABILITY ablation),CROSS_DOMAIN_ABLATION_LEAKAGE,Catastrophic cross-domain perception failure (F1=0.0) where confidence-only ablation leaks into AUTO_ACCEPT (reliability=0.9444 >= 0.85); successfully intercepted by DINOv2 domain gate (d=0.8455 > 0.4491).
China_Drone_000309,RDD2022_China_Drone_Val,2 labeled defects,4 predictions (2 matched TPs),0.4901,0.5247,0.9219,DOMAIN_ESCALATION,FAMILIAR_IMAGE_FALSE_ESCALATION,In-domain China UAV image falsely escalated because DINO distance (0.5247) exceeds p99 threshold (0.4491); driven by peripheral roadside construction or extreme lighting angle.
China_Drone_000640,RDD2022_China_Drone_Val,1 labeled defects,2 predictions (1 matched TPs),0.3887,0.524,0.7941,DOMAIN_ESCALATION,FAMILIAR_IMAGE_FALSE_ESCALATION,In-domain China UAV image falsely escalated because DINO distance (0.5240) exceeds p99 threshold (0.4491); driven by peripheral roadside construction or extreme lighting angle.
China_Drone_001065,RDD2022_China_Drone_Val,2 labeled defects,1 predictions (1 matched TPs),0.452,0.5131,0.845,DOMAIN_ESCALATION,FAMILIAR_IMAGE_FALSE_ESCALATION,In-domain China UAV image falsely escalated because DINO distance (0.5131) exceeds p99 threshold (0.4491); driven by peripheral roadside construction or extreme lighting angle.
China_Drone_001160,RDD2022_China_Drone_Val,1 labeled defects,0 predictions (0 matched TPs),0.0,0.4432,0.1298,IN_DOMAIN_ROUTING,BORDERLINE_DOMAIN_THRESHOLD,Boundary sample positioned within 0.0059 of the operational p99 threshold (0.4491); illustrates sensitivity boundary between familiar drone survey and visual domain alert.
China_Drone_001099,RDD2022_China_Drone_Val,1 labeled defects,1 predictions (1 matched TPs),0.4722,0.4416,0.8194,IN_DOMAIN_ROUTING,BORDERLINE_DOMAIN_THRESHOLD,Boundary sample positioned within 0.0075 of the operational p99 threshold (0.4491); illustrates sensitivity boundary between familiar drone survey and visual domain alert.
China_Drone_001025,RDD2022_China_Drone_Val,1 labeled defects,1 predictions (1 matched TPs),0.4964,0.0909,0.8505,AUTO_ACCEPT,BORDERLINE_RELIABILITY_THRESHOLD,Boundary sample positioned within 0.0005 of the 0.85 operational reliability threshold; separates automated acceptance from secondary human review.
China_Drone_002216,RDD2022_China_Drone_Val,1 labeled defects,2 predictions (1 matched TPs),0.4449,0.0843,0.8485,HUMAN_REVIEW,BORDERLINE_RELIABILITY_THRESHOLD,Boundary sample positioned within 0.0015 of the 0.85 operational reliability threshold; separates automated acceptance from secondary human review.
SEG_002_D04_D05,Experiment_A_Temporal_Progression,Persistent pothole distress under changing ambient moisture,0 matched tracks across adjacent days,0.65,0.3687,0.5383,HUMAN_REVIEW (REINSPECT),TEMPORAL_ASSOCIATION_FAILURE,"Macro water reflection alters defect boundary geometry, preventing geometric IoU matching despite identical physical roadway and camera preset."
SEG_004_D06_D10,Experiment_A_Temporal_Progression,16 continuous defect candidates,Tracking collapses to 0 observed tracks on D09-D10,0.52,0.457,0.482,HUMAN_REVIEW (MONITOR),TEMPORAL_ASSOCIATION_FAILURE,"Severe sunset grazing glare causes automated suppression of surface features, leading to 0 detections; enforced under NOT_OBSERVED != REPAIRED rule."
Site_02-1002_Pair_3,FHWA_LTPP_Test_Set,Future measured IRI severity = 0.6142 (LTPP InfoPave),Predicted future severity = 0.4153,0.8055,0.0,0.0,FLAG_FORECAST_DISCREPANCY,FORECASTING_OUTLIER,Absolute forecasting error = 0.1989; acute winter freeze-thaw subgrade heave accelerated roughness beyond the statistical trend line.
Site_36-4017_Pair_2,FHWA_LTPP_Test_Set,Future measured IRI severity = 0.8845,Predicted future severity = 0.7230,0.8055,0.0,0.0,FLAG_FORECAST_DISCREPANCY,FORECASTING_OUTLIER,Absolute forecasting error = 0.1615; heavy truck channelization along right wheel path produced non-linear rutting progression.
