segment_id,day,image_exists,metadata_exists,settings_match,image_valid,capture_count,status,notes
SEG_005,2,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,2,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,3,True,True,False,True,2,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Moderate Deterioration (Grade C)'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 1.5, got 4.8; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Dry Crushed Aggregate'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook') | DUPLICATE_HISTORY (2 captures logged)"
SEG_002,3,True,True,False,True,4,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Moderate Deterioration (Grade C)'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 1.5, got 3.5; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities') | DUPLICATE_HISTORY (4 captures logged)"
SEG_003,3,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Heavy Rain & Wet Road', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Pristine (Grade A)'; density: expected 1.5, got 7.3; pothole_moisture_state: expected '100% Waterlogged Puddles', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,3,True,True,False,True,4,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Moderate Deterioration (Grade C)'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 1.5, got 3.5) | DUPLICATE_HISTORY (4 captures logged)"
SEG_005,3,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,3,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,4,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (road_health_state: expected 'Moderate Deterioration (Grade C)', got 'Critical Hazard (Grade F)'; density: expected 3.5, got 4.8; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_002,4,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; density: expected 3.5, got 5.0; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '💧 Waterlogged Pothole Macro View')"
SEG_003,4,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (road_health_state: expected 'Moderate Deterioration (Grade C)', got 'Pristine (Grade A)'; pothole_sizing_spectrum: expected 'Multi-Scale Organic (20cm - 1.6m)', got 'Micro Pitting & Hairlines'; density: expected 3.5, got 7.3; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,4,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (road_health_state: expected 'Moderate Deterioration (Grade C)', got 'Severe Breakdown (Grade D - Critical)'; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities')"
SEG_005,4,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,4,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,5,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Heavy Rain & Wet Road', got 'Clear Noon (70° Sun)'; density: expected 3.5, got 5.6; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_002,5,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Clear Noon (70° Sun)', got 'Overcast Day'; density: expected 3.5, got 5.0; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '💧 Waterlogged Pothole Macro View')"
SEG_003,5,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Moderate Deterioration (Grade C)', got 'Pristine (Grade A)'; pothole_sizing_spectrum: expected 'Multi-Scale Organic (20cm - 1.6m)', got 'Micro Pitting & Hairlines'; density: expected 3.5, got 7.3; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,5,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Heavy Rain & Wet Road', got 'Overcast Day'; road_health_state: expected 'Moderate Deterioration (Grade C)', got 'Severe Breakdown (Grade D - Critical)'; pothole_moisture_state: expected '100% Waterlogged Puddles', got '100% Dry Crushed Aggregate')"
SEG_005,5,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,5,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,6,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Golden Hour Sunset', got 'Overcast Day'; density: expected 3.5, got 5.6; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Waterlogged Puddles'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_002,6,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Heavy Rain & Wet Road', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Severe Breakdown (Grade D - Critical)', got 'Moderate Deterioration (Grade C)'; density: expected 6.0, got 5.8; pothole_moisture_state: expected '100% Waterlogged Puddles', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_003,6,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Overcast Day', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Moderate Deterioration (Grade C)', got 'Pristine (Grade A)'; pothole_sizing_spectrum: expected 'Multi-Scale Organic (20cm - 1.6m)', got 'Micro Pitting & Hairlines'; density: expected 3.5, got 7.3; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,6,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (density: expected 6.0, got 3.5; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Dry Crushed Aggregate'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_005,6,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,6,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,7,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Overcast Day'; density: expected 6.0, got 6.6; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got '100% Waterlogged Puddles'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_002,7,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; density: expected 6.0, got 5.8; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_003,7,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Severe Breakdown (Grade D - Critical)', got 'Pristine (Grade A)'; pothole_sizing_spectrum: expected 'Multi-Scale Organic (20cm - 1.6m)', got 'Micro Pitting & Hairlines'; density: expected 6.0, got 7.3; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,7,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Clear Noon (70° Sun)', got 'Heavy Rain & Wet Road'; density: expected 6.0, got 3.5; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_005,7,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,7,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,8,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Clear Noon (70° Sun)', got 'Golden Hour Sunset'; density: expected 6.0, got 7.1; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_002,8,True,True,False,True,3,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; density: expected 6.0, got 3.5) | DUPLICATE_HISTORY (3 captures logged)"
SEG_003,8,True,True,False,True,2,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Severe Breakdown (Grade D - Critical)', got 'Moderate Deterioration (Grade C)'; density: expected 6.0, got 3.5) | DUPLICATE_HISTORY (2 captures logged)"
SEG_004,8,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Overcast Day', got 'Heavy Rain & Wet Road'; density: expected 6.0, got 3.5; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Dry Crushed Aggregate'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_005,8,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,8,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,9,True,True,False,True,5,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Golden Hour Sunset', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Severe Breakdown (Grade D - Critical)', got 'Critical Hazard (Grade F)'; pothole_sizing_spectrum: expected 'Multi-Scale Organic (20cm - 1.6m)', got 'Micro Pitting & Hairlines'; density: expected 6.0, got 10.0; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook') | DUPLICATE_HISTORY (5 captures logged)"
SEG_002,9,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Critical Hazard (Grade F)', got 'Severe Breakdown (Grade D - Critical)'; pothole_sizing_spectrum: expected 'Large Severe Craters Only', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 8.5, got 5.3; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '💧 Waterlogged Pothole Macro View')"
SEG_003,9,True,True,False,True,2,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Clear Noon (70° Sun)'; density: expected 6.0, got 7.0; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities') | DUPLICATE_HISTORY (2 captures logged)"
SEG_004,9,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Golden Hour Sunset'; pothole_sizing_spectrum: expected 'Large Severe Craters Only', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 8.5, got 4.5; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_005,9,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,9,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,10,True,True,False,True,7,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Clear Noon (70° Sun)', got 'Golden Hour Sunset'; pothole_sizing_spectrum: expected 'Large Severe Craters Only', got 'Micro Pitting & Hairlines'; density: expected 8.5, got 10.0; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got '100% Waterlogged Puddles'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook') | DUPLICATE_HISTORY (7 captures logged)"
SEG_002,10,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Night Highway with Lamps', got 'Clear Noon (70° Sun)'; pothole_sizing_spectrum: expected 'Large Severe Craters Only', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 8.5, got 5.3; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_003,10,True,False,False,True,2,MISSING_SIDECAR; DUPLICATE_HISTORY,MISSING_SIDECAR (day_XX_metadata.json missing; found legacy metadata.json) | DUPLICATE_HISTORY (2 captures logged)
SEG_004,10,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Overcast Day', got 'Clear Noon (70° Sun)'; pothole_sizing_spectrum: expected 'Large Severe Craters Only', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 8.5, got 4.5; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Dry Crushed Aggregate'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_005,10,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,10,False,False,False,False,0,NOT YET CAPTURED,OK
