segment_id,day,image_path,metadata_path,lighting_preset,road_health_state,pothole_sizing_spectrum,pothole_density_per_100m2,pothole_moisture_state,camera_preset,capture_timestamp,sidecar_valid,image_valid,capture_count,notes
SEG_003,3,env/output/temporal_segments/SEG_003/day_03.png,env/output/temporal_segments/SEG_003/day_03_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:53:53.098337+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,3,env/output/temporal_segments/SEG_004/day_03.png,env/output/temporal_segments/SEG_004/day_03_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T18:00:01.444484+05:30,True,True,4,[TEMPORAL_CANDIDATE] OK
SEG_001,4,env/output/temporal_segments/SEG_001/day_04.png,env/output/temporal_segments/SEG_001/day_04_metadata.json,Clear Noon (70° Sun),Critical Hazard (Grade F),Multi-Scale Organic (20cm - 1.6m),4.8,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T17:40:36.039340+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_002,4,env/output/temporal_segments/SEG_002/day_04.png,env/output/temporal_segments/SEG_002/day_04_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),5.0,Mixed Wet / Dry Cavities,💧 Waterlogged Pothole Macro View,2026-09-09T17:49:09.146573+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_003,4,env/output/temporal_segments/SEG_003/day_04.png,env/output/temporal_segments/SEG_003/day_04_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:54:01.325912+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,4,env/output/temporal_segments/SEG_004/day_04.png,env/output/temporal_segments/SEG_004/day_04_metadata.json,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T18:00:31.208364+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,5,env/output/temporal_segments/SEG_001/day_05.png,env/output/temporal_segments/SEG_001/day_05_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),5.6,100% Waterlogged Puddles,🌄 Highway Curve Vantage Overlook,2026-09-09T17:41:07.278493+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_002,5,env/output/temporal_segments/SEG_002/day_05.png,env/output/temporal_segments/SEG_002/day_05_metadata.json,Overcast Day,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),5.0,Mixed Wet / Dry Cavities,💧 Waterlogged Pothole Macro View,2026-09-09T17:49:25.880253+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_003,5,env/output/temporal_segments/SEG_003/day_05.png,env/output/temporal_segments/SEG_003/day_05_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:54:07.323759+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,5,env/output/temporal_segments/SEG_004/day_05.png,env/output/temporal_segments/SEG_004/day_05_metadata.json,Overcast Day,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T18:00:54.884026+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,6,env/output/temporal_segments/SEG_001/day_06.png,env/output/temporal_segments/SEG_001/day_06_metadata.json,Overcast Day,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),5.6,100% Waterlogged Puddles,🌄 Highway Curve Vantage Overlook,2026-09-09T17:42:03.387198+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_002,6,env/output/temporal_segments/SEG_002/day_06.png,env/output/temporal_segments/SEG_002/day_06_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),5.8,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:49:55.413935+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_003,6,env/output/temporal_segments/SEG_003/day_06.png,env/output/temporal_segments/SEG_003/day_06_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:54:27.287669+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,6,env/output/temporal_segments/SEG_004/day_06.png,env/output/temporal_segments/SEG_004/day_06_metadata.json,Overcast Day,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T18:01:23.867598+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,7,env/output/temporal_segments/SEG_001/day_07.png,env/output/temporal_segments/SEG_001/day_07_metadata.json,Overcast Day,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),6.6,100% Waterlogged Puddles,🌄 Highway Curve Vantage Overlook,2026-09-09T17:42:27.122058+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_002,7,env/output/temporal_segments/SEG_002/day_07.png,env/output/temporal_segments/SEG_002/day_07_metadata.json,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),5.8,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:50:34.995814+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_003,7,env/output/temporal_segments/SEG_003/day_07.png,env/output/temporal_segments/SEG_003/day_07_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:54:32.844092+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,7,env/output/temporal_segments/SEG_004/day_07.png,env/output/temporal_segments/SEG_004/day_07_metadata.json,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T18:01:38.013570+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,8,env/output/temporal_segments/SEG_001/day_08.png,env/output/temporal_segments/SEG_001/day_08_metadata.json,Golden Hour Sunset,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),7.1,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:43:00.565440+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_002,8,env/output/temporal_segments/SEG_002/day_08.png,env/output/temporal_segments/SEG_002/day_08_metadata.json,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:51:40.614344+05:30,True,True,3,[ROBUSTNESS_ONLY] OK
SEG_003,8,env/output/temporal_segments/SEG_003/day_08.png,env/output/temporal_segments/SEG_003/day_08_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:55:53.023647+05:30,True,True,2,[TEMPORAL_CANDIDATE] OK
SEG_004,8,env/output/temporal_segments/SEG_004/day_08.png,env/output/temporal_segments/SEG_004/day_08_metadata.json,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),3.5,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T18:01:48.577777+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,9,env/output/temporal_segments/SEG_001/day_09.png,env/output/temporal_segments/SEG_001/day_09_metadata.json,Clear Noon (70° Sun),Critical Hazard (Grade F),Micro Pitting & Hairlines,10.0,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:45:30.002763+05:30,True,True,5,[TEMPORAL_CANDIDATE] OK
SEG_002,9,env/output/temporal_segments/SEG_002/day_09.png,env/output/temporal_segments/SEG_002/day_09_metadata.json,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),5.3,Mixed Wet / Dry Cavities,💧 Waterlogged Pothole Macro View,2026-09-09T17:52:08.728338+05:30,True,True,1,[ROBUSTNESS_ONLY] OK
SEG_003,9,env/output/temporal_segments/SEG_003/day_09.png,env/output/temporal_segments/SEG_003/day_09_metadata.json,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),Multi-Scale Organic (20cm - 1.6m),7.0,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:56:26.422558+05:30,True,True,2,[TEMPORAL_CANDIDATE] OK
SEG_004,9,env/output/temporal_segments/SEG_004/day_09.png,env/output/temporal_segments/SEG_004/day_09_metadata.json,Golden Hour Sunset,Critical Hazard (Grade F),Multi-Scale Organic (20cm - 1.6m),4.5,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T18:02:31.558539+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,10,env/output/temporal_segments/SEG_001/day_10.png,env/output/temporal_segments/SEG_001/day_10_metadata.json,Golden Hour Sunset,Critical Hazard (Grade F),Micro Pitting & Hairlines,10.0,100% Waterlogged Puddles,🌄 Highway Curve Vantage Overlook,2026-09-09T17:46:54.606446+05:30,True,True,7,[TEMPORAL_CANDIDATE] OK
SEG_002,10,env/output/temporal_segments/SEG_002/day_10.png,env/output/temporal_segments/SEG_002/day_10_metadata.json,Clear Noon (70° Sun),Critical Hazard (Grade F),Multi-Scale Organic (20cm - 1.6m),5.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:52:36.317866+05:30,True,True,1,[ROBUSTNESS_ONLY] OK
SEG_003,10,env/output/temporal_segments/SEG_003/day_10.png,MISSING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,True,2,[ROBUSTNESS_ONLY] MISSING_SIDECAR (day_10_metadata.json missing; found legacy metadata.json)
SEG_004,10,env/output/temporal_segments/SEG_004/day_10.png,env/output/temporal_segments/SEG_004/day_10_metadata.json,Clear Noon (70° Sun),Critical Hazard (Grade F),Multi-Scale Organic (20cm - 1.6m),4.5,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T18:02:51.559139+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
